variable,description,source,name_puf,grow_with
id,record ID,puf,RECID,NA
weight,record weight,imputed,NA,NA
filer,whether tax unit filed tax return,imputed,NA,NA
dep_status,whether filer is a dependent,puf,DSI,NA
filing_status,filing status,puf,MARS,NA
age1,age of primary filer,imputed,NA,NA
age2,age of secondary filer,imputed,NA,NA
blind1,whether primary filer is blind,imputed,NA,NA
blind2,whether secondary filer is blind,imputed,NA,NA
n_dep,number of dependents,derived,NA,NA
dep_age1,age of youngest dependent,imputed,NA,NA
dep_age2,age of second youngest dependent,imputed,NA,NA
dep_age3,age of oldest dependent,imputed,NA,NA
dep_ssn1,whether youngest dependent has a SNN,imputed,NA,NA
dep_ssn2,whether second youngest dependent has a SNN,imputed,NA,NA
dep_ssn3,whether oldest dependent has a SNN,imputed,NA,NA
n_dep_ctc,number of CTC-qualifying children under 2015 rules,puf,N24,NA
dep_ctc1,whether youngest dependent qualifies for CTC,imputed,NA,NA
dep_ctc2,whether second youngest dependent qualifies for CTC,imputed,NA,NA
dep_ctc3,whether oldest dependent qualifies for CTC,imputed,NA,NA
n_dep_eitc,number of EITC-qualifying children under 2015 rules,puf,EIC,NA
wages,W2 wages for tax unit,puf,E00200,gdp_wages
wages1,primary filer's share of wages,imputed,NA,gdp_wages
wages2,secondary filer's share of wages,imputed,NA,gdp_wages
trad_contr_er1,primary filer's contributions to pretax savings accounts,imputed,NA,gdp_wages
trad_contr_er2,secondary filer's contributions to pretax savings accounts,imputed,NA,gdp_wages
txbl_int,taxable interest income,puf,E00300,gdp_interest
exempt_int,tax-exempt interest income,puf,E00400,gdp_interest
div_ord,non-preferred dividend income,derived,NA,gdp_div
div_pref,preferred-rate dividend income,puf,E00650,gdp_div
state_ref,state income tax refunds,puf,E00700,gdp
alimony,alimony received,puf,E00800,gdp_wages
divorce_year,year of divorce if divorced,imputed,NA,NA
sole_prop,Schedule C net income,puf,E00900,gdp_proprietors
sole_prop1,primary filer's share of Schedule C net income,imputed split,NA,gdp_proprietors
sole_prop2,secondary filer's share of Schedule C net income,imputed split,NA,gdp_proprietors
wagebill_sole_prop,owner's share of W2 wages paid in sole proprietorship,imputed,NA,gdp_wages
sstb_sole_prop,whether filer's sole prop income comes from a SSTB,imputed,NA,NA
kg_st,short-term net capital gain carryover,puf,P22250,gdp_corp
kg_lt,long-term net capital gain,puf,P23250,gdp_corp
kg_1250,unrecaptured Section 1250 gain,puf,E24515,gdp_corp
kg_collect,28% collectibles gain,puf,E24518,gdp_corp
other_gains,other capital gains reported on Form 1040,puf,E01200,gdp_corp
txbl_ira_dist,taxable IRA distributions,puf,E01400,gdp
gross_pens_dist,total pensions and annuities received,puf,E01500,gdp_wages
txbl_pens_dist,taxable pensions and annueities received,puf,E01700,gdp_wages
part_active,nonpassive partnership net income,puf,E25980,gdp
part_active_loss,nonpassive partnership net loss,puf,E25960,gdp
part_passive,passive partnership net income,puf,E25940,gdp
part_passive_loss,passive partnership net loss,puf,E25920,gdp
part_179,partnership Section 179 deduction,puf,E26110,gdp
part_se,partnership income subject to SECA,derived,NA,gdp
part_se1,primary filer's share of partnership income subject to SECA,imputed,NA,gdp
part_se2,secondary filer's share of partnership income subject to SECA,imputed,NA,gdp
wagebill_part,owner's share of W2 wages paid in partnerships,imputed,NA,gdp_wages
sstb_part,whether filer's partnership income comes from a SSTB,imputed,NA,NA
scorp_active,nonpassive S corp net income,puf,E26190,gdp
scorp_active_loss,nonpassive S corp net loss,puf,E26180,gdp
scorp_passive,passive S corp net income,puf,E26170,gdp
